#{"t_start": 1600111101.9033527, "env_id": null}
r,l,t
2.0,156,7.935675
2.0,69,8.722579
3.0,101,12.876081
0.0,86,16.823116
3.0,111,21.0599
4.0,122,25.469666
0.0,96,26.57409
1.0,74,30.407313
1.0,154,35.122657
2.0,105,39.286077
1.0,151,44.494711
3.0,107,48.859771
2.0,63,49.564275
4.0,137,54.106102
1.0,147,62.072401
3.0,133,66.664032
1.0,60,67.369276
3.0,140,72.075132
2.0,76,76.004483
4.0,101,80.380578
4.0,125,85.043393
2.0,69,85.839376
3.0,101,90.237516
4.0,115,94.586705
4.0,115,99.066273
4.0,125,103.582506
4.0,109,107.946563
3.0,77,108.760255
3.0,68,112.29452
3.0,108,116.216807
4.0,123,117.512646
3.0,69,121.113509
3.0,93,124.979715
2.0,61,125.606529
4.0,76,129.260034
5.0,103,133.333699
3.0,68,134.02596
3.0,115,137.909429
4.0,83,141.640086
3.0,83,142.554132
5.0,110,146.544671
2.0,68,150.039698
3.0,111,153.925044
3.0,77,154.668645
1.0,78,158.14679
3.0,117,162.021115
2.0,110,165.868357
3.0,132,169.929676
8.0,230,174.863684
2.0,101,178.574808
4.0,248,186.49603
4.0,132,190.543425
3.0,126,194.551493
4.0,108,198.399428
4.0,113,202.329586
2.0,68,203.004461
6.0,179,210.463117
4.0,101,214.451129
5.0,102,215.472349
4.0,103,219.259448
4.0,91,223.08665
2.0,60,223.7301
4.0,144,228.149633
4.0,101,232.002404
4.0,147,236.823299
1.0,60,240.158267
3.0,99,243.912599
3.0,91,244.795547
4.0,125,248.730626
5.0,103,252.461641
3.0,77,255.857031
2.0,60,256.409438
4.0,102,260.086402
1.0,68,263.465294
3.0,136,267.491792
3.0,135,271.509266
3.0,132,275.503511
1.0,145,279.646533
2.0,131,283.626259
4.0,102,287.337843
4.0,140,291.462823
4.0,157,295.668623
4.0,137,299.694631
3.0,103,303.460694
3.0,143,307.616696
4.0,90,311.270612
3.0,218,316.167653
2.0,85,319.766983
3.0,111,323.573744
5.0,101,327.225306
3.0,70,327.884023
3.0,68,331.254609
2.0,69,331.913193
2.0,69,335.289065
4.0,138,339.349083
4.0,102,343.076421
3.0,68,343.72856
4.0,101,347.461633
3.0,111,351.288258
3.0,104,355.011603
3.0,124,358.964765
2.0,60,359.568228
3.0,132,363.644756
4.0,129,367.548379
3.0,128,371.48414
3.0,135,375.504067
4.0,126,379.571148
4.0,132,383.660243
2.0,135,387.796905
4.0,140,391.974479
4.0,131,396.006068
4.0,132,400.030366
2.0,132,406.717613
4.0,141,410.843793
3.0,238,416.182752
4.0,135,423.256019
4.0,133,427.40786
5.0,256,435.498055
3.0,141,439.689522
4.0,133,443.823267
3.0,132,447.93591
4.0,132,452.135233
4.0,101,455.997612
3.0,101,457.053597
8.0,537,476.417543
10.0,497,491.801146
6.0,225,500.011456
4.0,111,504.027093
6.0,239,512.172479
3.0,111,516.20781
4.0,132,520.449866
4.0,133,524.803596
4.0,128,528.980373
4.0,128,533.008301
4.0,126,537.027794
2.0,87,540.833354
4.0,101,541.858052
3.0,103,545.793004
3.0,105,549.723971
2.0,69,550.447498
8.0,259,561.638676
4.0,130,565.807164
4.0,104,566.861197
4.0,111,570.853046
4.0,133,575.011382
3.0,103,578.965082
0.0,69,582.665448
6.0,240,588.215725
4.0,103,592.261684
1.0,109,596.4024
3.0,104,600.435695
2.0,133,604.739743
4.0,135,609.006266
3.0,101,612.69441
3.0,115,616.534628
4.0,132,620.518724
4.0,115,624.381809
4.0,134,628.442067
3.0,107,632.293956
4.0,104,633.358787
3.0,103,637.198912
3.0,69,640.687218
2.0,68,641.367993
3.0,108,645.329064
3.0,68,648.848958
4.0,103,649.92252
4.0,109,653.785635
4.0,109,657.68165
4.0,104,661.610391
2.0,68,662.297086
4.0,110,666.160591
5.0,117,670.108878
4.0,109,673.907166
4.0,108,677.717188
5.0,104,681.487772
4.0,108,685.278506
3.0,68,685.921546
4.0,102,689.646648
4.0,110,693.443872
5.0,112,697.251309
4.0,110,698.337277
4.0,106,702.111121
7.0,143,706.269745
3.0,68,709.634958
6.0,133,713.747087
3.0,68,717.198725
3.0,93,718.183352
5.0,111,722.002366
4.0,109,725.816545
8.0,193,730.465196
4.0,97,734.121447
4.0,119,738.006103
4.0,102,741.722244
5.0,110,745.531041
6.0,113,749.497591
2.0,61,750.12092
7.0,151,754.451567
7.0,151,761.589378
5.0,128,765.637405
4.0,110,766.717647
4.0,103,770.526612
4.0,106,774.398824
5.0,103,778.269252
4.0,103,782.174036
5.0,108,783.277818
6.0,126,787.343485
5.0,114,791.227023
6.0,124,795.203659
6.0,129,799.19971
3.0,69,802.605952
4.0,96,806.27863
5.0,113,810.123031
3.0,123,811.353102
4.0,99,815.057751
5.0,142,819.185971
4.0,68,822.597166
3.0,69,823.252563
2.0,60,826.639917
4.0,110,830.50127
3.0,69,831.16655
4.0,114,835.019148
4.0,68,838.464389
5.0,111,842.289143
3.0,69,842.94714
3.0,69,846.372305
5.0,124,850.470147
4.0,112,854.433834
3.0,69,855.100222
3.0,69,858.509481
3.0,76,859.24012
4.0,69,862.628992
2.0,60,863.236285
